Timestamp,Protocol,MessageID,MessageType,PayloadSize,TotalSize,TransportOverhead,SessionOverhead,PresentationOverhead,ApplicationOverhead,EfficiencyPercent,OverheadPercent
1750233688309,Matter,188,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233691327,Matter,189,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233694347,Matter,190,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233697355,Matter,191,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233705371,Matter,192,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233708395,Matter,193,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233711411,Matter,194,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233714420,Matter,195,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233717444,Matter,196,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233725459,Matter,197,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233728484,Matter,198,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233731505,Matter,199,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233734528,Matter,200,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233737547,Matter,201,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233745571,Matter,202,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233748586,Matter,203,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233751609,Matter,204,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233754630,Matter,205,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233757652,Matter,206,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233765661,Matter,207,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233768683,Matter,208,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233771705,Matter,209,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233774726,Matter,210,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233777745,Matter,211,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233785767,Matter,212,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233788792,Matter,213,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233791816,Matter,214,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233794837,Matter,215,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233797858,Matter,216,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233805880,Matter,217,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233808895,Matter,218,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233811911,Matter,219,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233814925,Matter,220,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233817945,Matter,221,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233825968,Matter,222,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233828988,Matter,223,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233832015,Matter,224,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233835036,Matter,225,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233838052,Matter,226,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233846069,Matter,227,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233849085,Matter,228,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233852106,Matter,229,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233855131,Matter,230,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233858151,Matter,231,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233866174,Matter,232,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233869188,Matter,233,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233872210,Matter,234,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233875223,Matter,235,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233878233,Matter,236,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233886265,Matter,237,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233889284,Matter,238,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233892306,Matter,239,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233895327,Matter,240,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233898349,Matter,241,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233906371,Matter,242,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233909394,Matter,243,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233912415,Matter,244,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233915427,Matter,245,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233918447,Matter,246,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233926467,Matter,247,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233929481,Matter,248,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233932491,Matter,249,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233935509,Matter,250,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233938526,Matter,251,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
